grid_point, diff2-1, diff3-1, diff3-2
[9, 6],-23.776501633457883,-30.225828802010255,-6.449327168552372
[9, 7],-19.407180327435526,-19.441599152293747,-0.03441882485822134
[9, 8],-17.70715145867689,-12.551274877340802,5.155876581336088
[9, 9],-17.454202615588656,-13.455214339591294,3.9989882759973625
[9, 10],-23.5061102337977,-19.68353404481877,3.8225761889789283
[9, 11],-30.460046980473635,-26.099220302092363,4.360826678381272
[9, 12],-36.81003604335001,-40.221582403056345,-3.4115463597063354
[9, 13],-43.99206733979827,-53.106992888074274,-9.114925548276005
[9, 14],-51.66038074540302,-64.70365645552647,-13.043275710123453
[9, 15],-54.82295765071012,-72.99790323999514,-18.174945589285016
[9, 16],-51.87740622350066,-77.24449612524768,-25.367089901747022
[9, 17],-44.60647960533424,-76.14443925384148,-31.53795964850724
[9, 18],-33.289929078311616,-44.46158941696012,-11.171660338648508
[9, 19],-20.680370361793393,-16.009665956568824,4.670704405224569
[9, 20],-8.964950288833279,7.383368432258976,16.348318721092255
[9, 21],0.2747063742572209,18.094304949491743,17.819598575234522
[10, 0],-68.08295224574795,-50.72913795994191,17.35381428580604
[10, 1],-59.64556339839601,-41.83670253665878,17.80886086173723
[10, 2],-53.173470954478944,-37.426924205374235,15.74654674910471
[10, 3],-45.19641155263071,-41.24368364581005,3.9527279068206553
[10, 4],-38.22906147609683,-44.627275123605614,-6.398213647508783
[10, 5],-29.21202675245422,-37.152572676584896,-7.940545924130674
[10, 6],-21.056625830626217,-28.99717175475689,-7.940545924130674
[10, 7],-16.594138223366826,-14.3051044387621,2.289033784604726
[10, 8],-14.09423820081247,-4.896576214012384,9.197661986800085
[10, 9],-14.967732558812713,-8.767334924840725,6.200397633971988
[10, 10],-20.58282888647136,-16.40726388156054,4.175565004910823
[10, 11],-27.53099081282562,-26.523518077154222,1.0074727356713993
[10, 12],-34.07470190600452,-41.797681528577414,-7.722979622572893
[10, 13],-42.99304992592988,-56.3934992756449,-13.400449349715018
[10, 14],-52.89985329498268,-71.56335860730997,-18.66350531232729
[10, 15],-59.686824897490624,-83.10601630262136,-23.419191405130732
[10, 16],-61.110866547770456,-96.31118166657325,-35.20031511880279
[10, 17],-57.131514486486594,-103.14739881894184,-46.015884332455244
[10, 18],-46.80445405107184,-80.36647941780393,-33.56202536673209
[10, 19],-33.430156398441795,-49.058438252976885,-15.62828185453509
[10, 20],-22.687467508147165,-27.84782041595463,-5.160352907807464
[10, 21],-9.191932496978552,-18.895309391823503,-9.70337689484495
[11, 0],-71.7764845938691,-54.167693317830526,17.608791276038573
[11, 1],-58.818064844258515,-40.80971119095102,18.008353653307495
[11, 2],-47.31746710274456,-29.21483003186313,18.10263707088143
[11, 3],-39.11436848266749,-30.529296013602107,8.58507246906538
[11, 4],-33.690493359436914,-36.684176516730076,-2.9936831572931624
[11, 5],-26.616373589719842,-34.55691951385052,-7.940545924130674
[11, 6],-18.09162613709759,-26.182044813776884,-8.090418676679292
[11, 7],-12.793130851427122,-8.90636889853613,3.8867619528909927
[11, 8],-10.506764399247004,0.7926950269747977,11.299459426221802
[11, 9],-11.201126893656692,-2.956514948430595,8.244611945226097
[11, 10],-16.879747721528474,-11.43524649590745,5.444501225621025
[11, 11],-22.39596982560306,-21.064859348182836,1.331110477420225
[11, 12],-28.856101213852526,-36.85135786370938,-7.995256649856856
[11, 13],-38.43031551392323,-52.075624571361004,-13.645309057437771
[11, 14],-47.79380457201751,-65.09482624474185,-17.301021672724346
[11, 15],-57.45795722926323,-84.76555894715148,-27.307601717888247
[11, 16],-66.9674497414344,-113.43379617859227,-46.46634643715788
[11, 17],-63.51842496014615,-125.7631931066353,-62.24476814648915
[11, 18],-54.70341571519384,-103.50944480611088,-48.806029090917036
[11, 19],-43.63733338599468,-79.1801911991106,-35.542857813115916
[11, 20],-33.0722898990216,-59.73739306663265,-26.66510316761105
[11, 21],-18.852432942266205,-39.78347342017332,-20.931040477907118
[12, 0],-90.22835214137922,-72.28374347436238,17.944608667016837
[12, 1],-72.35292334802034,-54.25028627713891,18.10263707088143
[12, 2],-51.99214831453719,-33.88951124365576,18.10263707088143
