grid_point, number_obs_available, analysis_value
[10, 13],20.0,5454.0404827299735
[10, 14],19.0,5447.458154916102
[10, 15],18.0,5446.644606484467
[10, 16],18.0,5451.326327163874
[10, 17],16.0,5463.9223147603025
[10, 18],14.0,5482.654054268539
[10, 19],10.0,5509.995643832427
[10, 20],9.0,5537.11560278318
[10, 21],9.0,5570.486756204231
[11, 0],4.0,5178.824525823422
[11, 1],5.0,5223.11404869751
[11, 2],4.0,5272.921269184397
[11, 3],5.0,5323.474011809573
[11, 4],4.0,5366.965155872614
[11, 5],7.0,5406.062741569232
[11, 6],10.0,5443.006039636372
[11, 7],10.0,5469.86641436194
[11, 8],13.0,5486.158353565449
[11, 9],15.0,5493.887370376696
[11, 10],15.0,5493.212219870218
[11, 11],18.0,5490.971525409229
[11, 12],19.0,5488.525611143311
[11, 13],20.0,5483.01698735104
[11, 14],19.0,5478.244706338032
[11, 15],20.0,5472.585379647547
[11, 16],19.0,5470.63740341833
[11, 17],18.0,5482.701868583998
[11, 18],17.0,5502.199932100363
[11, 19],13.0,5526.793140058391
[11, 20],9.0,5551.24882959481
[11, 21],9.0,5583.522508543632
[12, 0],3.0,5170.139125473147
[12, 1],5.0,5215.909090419952
[12, 2],5.0,5277.2494850956045
[12, 3],4.0,5343.954078701725
[12, 4],4.0,5384.187383623272
[12, 5],7.0,5427.28632508703
[12, 6],8.0,5469.7583070334995
[12, 7],10.0,5496.293885415322
[12, 8],12.0,5511.018205218189
[12, 9],16.0,5520.361542406859
[12, 10],17.0,5522.7045201162655
[12, 11],17.0,5521.834747469535
[12, 12],21.0,5520.347108254012
[12, 13],20.0,5515.854144989216
[12, 14],21.0,5511.125996029697
[12, 15],20.0,5508.618641626295
[12, 16],19.0,5507.010572403962
[12, 17],17.0,5512.472305094534
[12, 18],16.0,5528.0243664517175
[12, 19],14.0,5553.100789938763
[12, 20],13.0,5580.973020949697
[12, 21],12.0,5613.372269777212
[13, 0],3.0,5151.523437989916
[13, 1],6.0,5204.057757644032
[13, 2],6.0,5276.966433486172
[13, 3],6.0,5351.866830833125
[13, 4],5.0,5405.874202994966
[13, 5],8.0,5452.6126329918225
[13, 6],8.0,5494.229925184256
[13, 7],11.0,5518.111159746854
[13, 8],13.0,5533.548598845697
[13, 9],16.0,5547.087916998063
[13, 10],19.0,5553.850472988189
[13, 11],19.0,5556.656679774769
[13, 12],22.0,5556.272328463938
[13, 13],21.0,5552.812478910641
[13, 14],23.0,5549.858033796676
[13, 15],22.0,5550.376542981198
[13, 16],23.0,5553.099463841674
[13, 17],21.0,5557.6876249427405
[13, 18],17.0,5572.455359142798
[13, 19],14.0,5596.526304317789
[13, 20],12.0,5626.6111246128
[13, 21],10.0,5664.02896693784
[14, 0],7.0,5134.521396838573
[14, 1],6.0,5204.51362559578
[14, 2],6.0,5279.598639681964
[14, 3],6.0,5358.882409285021
[14, 4],5.0,5426.483250137886
[14, 5],9.0,5473.104465920455
[14, 6],9.0,5512.311523496788
[14, 7],10.0,5542.110920669615
[14, 8],14.0,5558.92422652668
[14, 9],15.0,5575.0369808911755
[14, 10],17.0,5584.293795388149
[14, 11],21.0,5590.712926897113
[14, 12],25.0,5592.677416226248
[14, 13],24.0,5593.694570844471
[14, 14],25.0,5595.917929648108
[14, 15],20.0,5597.823522478714
[14, 16],23.0,5601.943222819227
[14, 17],24.0,5611.299673712715
[14, 18],20.0,5625.082567156126
[14, 19],16.0,5648.101757846686
[14, 20],14.0,5678.574677176147
[14, 21],10.0,5713.73585749479
[15, 0],7.0,5135.194163107897
[15, 1],6.0,5212.185793877312
[15, 2],5.0,5290.360041749342
[15, 3],6.0,5370.032276126244
[15, 4],8.0,5443.274744174404
[15, 5],6.0,5495.321330598976
[15, 6],10.0,5530.236506723337
[15, 7],13.0,5561.997052581772
[15, 8],12.0,5584.85454610444
[15, 9],17.0,5600.129431296204
[15, 10],17.0,5613.478325682841
[15, 11],23.0,5624.476156892663
[15, 12],21.0,5631.28430763354
[15, 13],26.0,5635.579368717413
[15, 14],23.0,5639.555683711516
[15, 15],24.0,5644.806488804027
[15, 16],21.0,5651.271762501405
[15, 17],20.0,5661.7314362546485
[15, 18],20.0,5675.221489811082
[15, 19],16.0,5696.374039852248
[15, 20],13.0,5724.934985307715
[15, 21],10.0,5755.796480730717
[16, 0],6.0,5151.7059083594095
[16, 1],6.0,5225.914765241718
[16, 2],6.0,5313.5614279221645
[16, 3],7.0,5389.577099465151
[16, 4],8.0,5464.59567711766
[16, 5],8.0,5513.9364260448765
[16, 6],9.0,5549.023816886337
[16, 7],12.0,5582.54869586038
[16, 8],13.0,5607.86209165575
[16, 9],16.0,5624.110708749776
[16, 10],17.0,5641.175686170384
[16, 11],19.0,5655.896601563389
[16, 12],20.0,5665.381241619827
[16, 13],22.0,5673.361077507015
[16, 14],21.0,5679.833961561164
[16, 15],22.0,5687.333452592432
[16, 16],21.0,5694.649710440835
[16, 17],21.0,5706.433024587726
[16, 18],22.0,5719.936017721064
[16, 19],17.0,5739.439990776814
[16, 20],14.0,5763.095299200898
[16, 21],10.0,5788.368543388336
[17, 0],5.0,5182.439178853572
[17, 1],5.0,5258.764079206688
[17, 2],6.0,5342.842229527085
[17, 3],6.0,5420.582075888854
[17, 4],9.0,5488.986394716981
[17, 5],10.0,5533.087756021628
[17, 6],11.0,5570.136166488809
[17, 7],15.0,5605.383470215838
[17, 8],16.0,5629.491807689552
[17, 9],18.0,5646.9912692180305
[17, 10],19.0,5664.355627841559
[17, 11],18.0,5680.97696851716
[17, 12],21.0,5694.3680474019
[17, 13],23.0,5705.597192146469
[17, 14],23.0,5716.521308690891
[17, 15],22.0,5726.390557654916
[17, 16],21.0,5735.65653557021
[17, 17],22.0,5746.362029078965
[17, 18],19.0,5760.697920611807
[17, 19],16.0,5777.747860044841
[17, 20],16.0,5795.783648656563
[17, 21],11.0,5818.14202318836
[18, 0],6.0,5221.059549994252
[18, 1],6.0,5296.409475780573
[18, 2],9.0,5377.397566304259
[18, 3],7.0,5453.626044191079
[18, 4],9.0,5514.80333845564
[18, 5],10.0,5557.652987326514
[18, 6],14.0,5593.099773091609
[18, 7],16.0,5624.328642673122
[18, 8],16.0,5648.352260293673
[18, 9],15.0,5666.752126270645
[18, 10],18.0,5684.965576723482
[18, 11],21.0,5704.9847703196
[18, 12],21.0,5723.470046824514
[18, 13],22.0,5737.507526595602
[18, 14],22.0,5749.4259141485845
[18, 15],21.0,5760.253326373101
[18, 16],18.0,5770.164888736884
[18, 17],19.0,5780.471566058151
[18, 18],17.0,5792.807776885986
[18, 19],15.0,5807.635733686446
[18, 20],13.0,5823.800757177908
[18, 21],11.0,5842.237845516076
[19, 0],8.0,5257.301222489345
[19, 1],8.0,5335.815331151089
[19, 2],8.0,5413.575112489257
[19, 3],10.0,5483.493407383776
[19, 4],13.0,5540.016480262862
[19, 5],13.0,5581.290377284605
[19, 6],13.0,5612.1947773079555
[19, 7],15.0,5639.747361236648
[19, 8],15.0,5664.491930897354
[19, 9],18.0,5684.425948694077
[19, 10],19.0,5703.812191269583
[19, 11],24.0,5725.102787547269
[19, 12],21.0,5744.476123461419
[19, 13],23.0,5762.013983946751
[19, 14],22.0,5775.619339179983
[19, 15],22.0,5786.461316224902
[19, 16],17.0,5796.316771814249
[19, 17],18.0,5804.477540990538
[19, 18],18.0,5816.91125599098
[19, 19],11.0,5831.623641418895
[19, 20],11.0,5847.203591986469
[19, 21],9.0,5865.734650579635
[20, 0],9.0,5291.941817761043
[20, 1],9.0,5368.17756737132
[20, 2],9.0,5449.18398888484
[20, 3],10.0,5505.705583406668
[20, 4],15.0,5558.065429178862
[20, 5],16.0,5602.748531720318
[20, 6],15.0,5630.787433586581
[20, 7],19.0,5655.405258533286
[20, 8],19.0,5678.509325774761
[20, 9],18.0,5699.388098970587
[20, 10],19.0,5720.305243943096
[20, 11],22.0,5740.435498815349
[20, 12],21.0,5760.28928672579
[20, 13],23.0,5777.291657289423
[20, 14],22.0,5793.067805947336
[20, 15],20.0,5808.2867977842025
[20, 16],16.0,5819.869602941214
[20, 17],15.0,5829.367309152589
[20, 18],15.0,5839.979971199188
[20, 19],12.0,5853.311613096599
[20, 20],8.0,5866.440936454695
[20, 21],8.0,5881.645071285789
[21, 0],10.0,5318.545227411147
[21, 1],11.0,5396.090687798459
[21, 2],12.0,5472.036864624464
[21, 3],13.0,5526.975495315743
[21, 4],16.0,5575.129252706883
[21, 5],16.0,5619.039491236903
[21, 6],18.0,5645.075906846729
[21, 7],17.0,5669.071366037081
[21, 8],20.0,5691.49852591269
[21, 9],20.0,5712.895969688481
[21, 10],22.0,5733.529573479012
[21, 11],20.0,5753.094140211357
[21, 12],25.0,5771.540513517517
[21, 13],24.0,5788.920710462784
[21, 14],20.0,5806.077108488232
[21, 15],20.0,5821.841717584557
[21, 16],16.0,5835.143584669439
[21, 17],15.0,5846.783531050732
[21, 18],14.0,5857.981708165469
[21, 19],10.0,5867.76592918587
[21, 20],9.0,5877.850533804539
[21, 21],6.0,5893.828297985094
[22, 0],10.0,5348.273181227043
[22, 1],12.0,5417.4034463347525
[22, 2],14.0,5490.285218006482
[22, 3],13.0,5544.495239730919
[22, 4],16.0,5590.867534761754
[22, 5],17.0,5628.2226427958685
[22, 6],17.0,5654.848950423235
[22, 7],17.0,5679.6862772679915
[22, 8],17.0,5702.424568648022
[22, 9],19.0,5723.369215646543
[22, 10],19.0,5744.508481636681
[22, 11],20.0,5762.788880388646
[22, 12],20.0,5782.215851181165
[22, 13],21.0,5800.708191336846
[22, 14],17.0,5817.741572626694
[22, 15],17.0,5831.3984578754835
[22, 16],16.0,5844.311234957347
[22, 17],16.0,5856.57916011962
[22, 18],12.0,5866.670095317607
[22, 19],11.0,5877.304026426579
[22, 20],5.0,5885.770627427358
[22, 21],2.0,5895.585276254622
[23, 0],8.0,5370.90665770684
[23, 1],12.0,5437.589166133922
[23, 2],12.0,5506.10612518539
[23, 3],11.0,5556.42435005587
[23, 4],15.0,5598.606990220908
[23, 5],14.0,5633.327692455121
[23, 6],16.0,5660.254937963925
[23, 7],18.0,5686.061300120119
[23, 8],17.0,5709.645559443641
[23, 9],17.0,5730.642324815427
[23, 10],17.0,5751.500202423664
[23, 11],18.0,5771.177102676205
[23, 12],16.0,5791.810813479338
[23, 13],18.0,5810.48303498653
[23, 14],15.0,5827.395398096498
[23, 15],15.0,5840.6028926433155
[23, 16],16.0,5852.408862985477
[23, 17],15.0,5862.534958951705
[23, 18],13.0,5869.9569002589615
[23, 19],12.0,5875.645517007838
[23, 20],6.0,5880.557784407598
[23, 21],4.0,5886.391305254605
[24, 0],8.0,5393.309231975704
[24, 1],10.0,5454.312417025858
[24, 2],11.0,5514.764743061597
[24, 3],12.0,5562.662413802316
[24, 4],13.0,5603.1890237815105
[24, 5],13.0,5637.325724238384
[24, 6],15.0,5664.681159703914
[24, 7],16.0,5690.421139154698
[24, 8],17.0,5715.376784040534
[24, 9],16.0,5735.905741853385
[24, 10],18.0,5757.384703027085
[24, 11],17.0,5778.983380737616
[24, 12],15.0,5800.691774869559
[24, 13],16.0,5819.236426459486
[24, 14],13.0,5834.148323874165
[24, 15],17.0,5847.744621109472
[24, 16],15.0,5859.355076794883
[24, 17],13.0,5868.733906891813
[24, 18],12.0,5875.311254205679
[24, 19],9.0,5881.293678467869
[24, 20],8.0,5887.453759912204
[24, 21],4.0,5885.571715249483
[25, 0],8.0,5413.586327794495
[25, 1],9.0,5471.035865113318
[25, 2],11.0,5520.531879374613
[25, 3],11.0,5567.12941149368
[25, 4],11.0,5607.711659124604
[25, 5],12.0,5639.8533057167115
[25, 6],15.0,5667.2728571932375
[25, 7],15.0,5691.704030291406
[25, 8],14.0,5717.03950372435
[25, 9],14.0,5739.851656430005
[25, 10],13.0,5763.634448809508
[25, 11],14.0,5786.067920808798
[25, 12],14.0,5809.00198847529
[25, 13],15.0,5827.570543526784
[25, 14],13.0,5843.4623821349105
[25, 15],13.0,5855.522833221121
[25, 16],12.0,5866.699433837774
[25, 17],12.0,5875.568482679881
[25, 18],10.0,5883.014492059939
[25, 19],9.0,5889.742570943928
[25, 20],7.0,5894.166939588247
[25, 21],5.0,5896.37411408676
[26, 0],6.0,5432.902199645828
[26, 1],8.0,5477.747049818324
[26, 2],9.0,5525.413264970944
[26, 3],9.0,5572.211430874155
[26, 4],9.0,5607.72549392531
[26, 5],10.0,5637.636775153498
[26, 6],9.0,5667.224288137403
[26, 7],14.0,5691.312333074427
[26, 8],12.0,5717.342719200994
[26, 9],12.0,5742.422316544682
[26, 10],9.0,5769.043118927793
[26, 11],9.0,5792.720768976423
[26, 12],12.0,5814.168576673844
[26, 13],13.0,5835.892104505325
[26, 14],14.0,5850.9826822300065
[26, 15],13.0,5863.739597296655
[26, 16],11.0,5875.08097934381
[26, 17],10.0,5883.18053368768
[26, 18],8.0,5890.082218495867
[26, 19],8.0,5895.399050776109
[26, 20],6.0,5899.348873356376
[26, 21],5.0,5903.114532046875
[27, 0],4.0,5442.092947723991
[27, 1],6.0,5485.682516425249
[27, 2],7.0,5529.798917164793
[27, 3],7.0,5568.676742461067
[27, 4],7.0,5601.356402067838
[27, 5],9.0,5632.878603873622
[27, 6],9.0,5660.865912263576
[27, 7],10.0,5685.317049866784
[27, 8],9.0,5712.735339762616
[27, 9],9.0,5742.3925013108565
[27, 10],7.0,5772.631701797079
[27, 11],8.0,5797.842752153031
[27, 12],7.0,5819.910920616953
[27, 13],10.0,5841.322968253876
[27, 14],12.0,5859.018435667613
[27, 15],10.0,5871.723240148239
[27, 16],9.0,5881.941875166642
[27, 17],9.0,5889.780796577646
[27, 18],8.0,5895.787475916145
[27, 19],8.0,5900.426200763675
[27, 20],5.0,5904.0780537939945
[27, 21],5.0,5906.052372102965
