grid_point, number_obs_available, analysis_value
[12, 7],102.0,5440.980843165598
[12, 8],100.0,5458.92906168865
[12, 9],100.0,5483.378617939976
[12, 10],98.0,5501.3125226868015
[12, 11],96.0,5515.078541230185
[12, 12],95.0,5532.1449352736245
[12, 13],95.0,5547.231138129874
[12, 14],96.0,5575.7140159792625
[12, 15],93.0,5584.921154503108
[12, 16],92.0,5601.102977742264
[12, 17],90.0,5612.874171354243
[12, 18],85.0,5627.1276036513755
[12, 19],82.0,5637.999932773591
[12, 20],79.0,5653.895921644572
[12, 21],77.0,5675.366638369913
[13, 0],69.0,5287.172417221609
[13, 1],77.0,5325.251439350903
[13, 2],84.0,5347.050640326874
[13, 3],86.0,5377.539008306601
[13, 4],92.0,5403.650951378409
[13, 5],97.0,5426.390472924093
[13, 6],100.0,5441.032631301996
[13, 7],101.0,5454.470369074505
[13, 8],102.0,5478.918845857175
[13, 9],99.0,5497.376949652744
[13, 10],98.0,5517.381672681806
[13, 11],97.0,5537.167284081879
[13, 12],99.0,5567.745852932212
[13, 13],98.0,5578.171931723855
[13, 14],98.0,5593.933271501124
[13, 15],95.0,5605.192825351686
[13, 16],92.0,5615.197348552554
[13, 17],89.0,5633.8491191957755
[13, 18],87.0,5643.918612320513
[13, 19],83.0,5658.798096939367
[13, 20],82.0,5675.038450252758
[13, 21],78.0,5690.207015337963
[14, 0],70.0,5295.495569651532
[14, 1],76.0,5336.189669862586
[14, 2],82.0,5361.931692353564
[14, 3],83.0,5392.422430294579
[14, 4],91.0,5423.08562485439
[14, 5],95.0,5443.926258851354
[14, 6],99.0,5463.468221316183
[14, 7],100.0,5479.682957091469
[14, 8],101.0,5493.561385736775
[14, 9],101.0,5522.766284485431
[14, 10],101.0,5553.38348911085
[14, 11],99.0,5565.7996524372575
[14, 12],99.0,5583.663087107472
[14, 13],99.0,5596.163068662217
[14, 14],97.0,5610.74496498128
[14, 15],94.0,5624.034098634385
[14, 16],92.0,5639.247851936978
[14, 17],89.0,5647.400546883165
[14, 18],87.0,5664.9470498722885
[14, 19],84.0,5675.642096025344
[14, 20],83.0,5691.39204157448
[14, 21],80.0,5710.064798268667
[15, 0],66.0,5316.23636250215
[15, 1],72.0,5354.749254672473
[15, 2],80.0,5375.741448184865
[15, 3],85.0,5415.042360289846
[15, 4],89.0,5439.095057901817
[15, 5],94.0,5461.907169727441
[15, 6],97.0,5479.014549743932
[15, 7],98.0,5500.635792614308
[15, 8],98.0,5536.09178259281
[15, 9],103.0,5551.522321815717
[15, 10],103.0,5571.525063107202
[15, 11],100.0,5584.129355838225
[15, 12],100.0,5597.701380126113
[15, 13],97.0,5615.937416106309
[15, 14],97.0,5632.463293995024
[15, 15],93.0,5643.870328510177
[15, 16],91.0,5659.870892682421
[15, 17],90.0,5671.994597257596
[15, 18],88.0,5683.03172033166
[15, 19],85.0,5698.695272020427
[15, 20],81.0,5709.3887589854685
[15, 21],79.0,5732.343191225006
[16, 0],66.0,5331.699781084551
[16, 1],70.0,5366.942051558666
[16, 2],77.0,5408.972418429077
[16, 3],81.0,5439.436013024984
[16, 4],84.0,5478.938069598085
[16, 5],90.0,5497.568512771495
[16, 6],94.0,5514.705577398372
[16, 7],98.0,5538.103925700163
[16, 8],100.0,5565.921697688318
[16, 9],100.0,5587.175353000618
[16, 10],100.0,5602.6897218308995
[16, 11],100.0,5606.13921049929
[16, 12],98.0,5618.276564640626
[16, 13],97.0,5637.354032589698
[16, 14],94.0,5655.090608694422
[16, 15],92.0,5665.209865587358
[16, 16],92.0,5680.254319086683
[16, 17],89.0,5693.116775973907
[16, 18],86.0,5708.147007068672
[16, 19],84.0,5720.745713121791
[16, 20],80.0,5733.0083858342505
[16, 21],78.0,5755.307071559592
[17, 0],65.0,5340.4096093678745
[17, 1],68.0,5393.3956584085545
[17, 2],77.0,5433.200273797746
[17, 3],80.0,5462.662933945289
[17, 4],83.0,5499.567652498009
[17, 5],83.0,5529.250750410189
